GPS Time,LastUpdt(WDB),MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-04-24 22:03:39,2017-10-26 14:00:00,e0:8e:3c:22:1c:23,bayanDSLWIFI_1C23,WPA2/WPA,-74,2,AztechEl,Broadband,14.646975,121.060788
2018-04-24 22:03:32,2018-02-16 10:00:00,18:a6:f7:8e:ef:ac,PSCSEND-Conference,WPA2/WPA,-64,10,Tp-LinkT,Unidentified,14.647012,121.060780
2018-04-24 22:09:23,2018-02-16 10:00:00,14:b7:f8:0b:8c:d7,SKYbroadband8CD4,WPA2/WPA,-82,1,Technico,Broadband,14.643843,121.061068
2018-04-24 22:10:33,2018-02-16 10:00:00,f0:9f:c2:3d:d6:40,Social Weather Stations,WPA2,-73,6,Ubiquiti,Unidentified,14.643107,121.061137
2018-04-24 22:10:32,2018-02-16 10:00:00,f2:9f:c2:3d:d6:40,SWS Guest,WPA2,-76,6,None,Unidentified,14.643117,121.061140
2018-04-24 23:11:29,2017-07-29 21:00:00,d2:5b:a8:f8:d5:d9,PadrePio,WPA2/WPA,-77,1,None,Unidentified,14.646672,121.057503
2018-04-24 23:13:26,2016-09-08 03:00:00,70:5a:9e:64:41:7e,b417B,WPA2/WPA,-73,1,Technico,Unidentified,14.646683,121.058300
2018-04-24 23:14:09,2017-07-29 21:00:00,0c:f4:d5:15:99:28,#SmartWifi @StrEATMag,OPN,-55,1,RuckusWi,Unidentified,14.646538,121.058693
2018-04-24 23:13:15,2017-06-09 13:00:00,0e:41:58:01:1d:a3,5GB/s-3,WPA2,-84,6,None,Unidentified,14.646695,121.058220
2018-04-24 23:14:16,2017-07-29 21:00:00,5c:f2:86:21:96:ea,CCTV,WPA2/WPA,-72,7,IeeeRegi,Unidentified,14.646545,121.058768
2018-04-24 23:28:44,2018-02-16 10:00:00,20:aa:4b:56:cf:ad,SPCC,WPA2/WPA,-89,11,Cisco-Li,Unidentified,14.644737,121.059652
2018-04-24 23:37:35,2017-07-29 21:00:00,74:cc:39:ba:cd:f0,Bos Backoffice,WPA2/WPA,-66,1,Fiberhom,Fiber,14.646212,121.059763
